title,authors,first_publish_year
The Lightning Thief,Rick Riordan,2005
Twilight,Stephenie Meyer,2005
Harry Potter and the Deathly Hallows,J. K. Rowling,2007
Harry Potter and the Half-Blood Prince,J. K. Rowling,2005
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003
Catching Fire,Suzanne Collins,2009
The Hunger Games,Suzanne Collins,2008
Coraline,Neil Gaiman,2001
New Moon,Stephenie Meyer,2006
The Name of the Wind,"Patrick Rothfuss, Marc Simonetti",2007
American Gods,Neil Gaiman,2001
The Sea of Monsters,Rick Riordan,2006
The Martian,Andy Weir,2011
A Feast for Crows,George R. R. Martin,2005
Tintenherz,Cornelia Funke,2003
Artemis Fowl and the Eternity Code,Eoin Colfer,2003
The Battle of the Labyrinth,Rick Riordan,2008
Room on the Broom,Julia Donaldson,2001
The Titan's Curse,Rick Riordan,2007
Cell,Stephen King,2006
Everything's Eventual. 14 Dark Tales,Stephen King,2002
The Children of Húrin,J.R.R. Tolkien,2001
The Willows,Algernon Blackwood,2002
The Last Olympian,Rick Riordan,2009
Dreamcatcher,Stephen King,2001
The Red Pyramid,Rick Riordan,2009
The Lost Hero,Rick Riordan,2010
Wintersmith,"Terry Pratchett, Paul Kidby",2006
Tale of Despereaux,Kate DiCamillo,2003
La ciudad de las bestias,Isabel Allende,2002
Jonathan Strange and Mr. Norrell,Susanna Clarke,2001
Wolves of the Calla,Stephen King,2003
Artemis Fowl and the Arctic Incident,Eoin Colfer,2001
The Penelopiad,Margaret Atwood,2005
Under the Dome,Stephen King,2009
Bleach,Tite Kubo,2004
A Dance With Dragons,George R. R. Martin,2008
The Ocean at the End of the Lane,"Neil Gaiman, Mónica Faerna, Patrick Marcel, Lluís Delgado, Oriol Hernández",2013
Oryx and Crake,Margaret Atwood,2002
Into the Wild,Erin Hunter,2003
A Hat Full of Sky,Terry Pratchett,2004
The Amazing Maurice and His Educated Rodents,Terry Pratchett,2001
The Passage,Justin Cronin,2010
The Opal Deception,Eoin Colfer,2005
The Kingdom of Fantasy,"Elisabetta Dami, David Nel·lo, Larry Keys, Titi Plumederat, Koldo Biguri",2005
The Final Empire,Brandon Sanderson,2001
The Tales of Beedle the Bard,J. K. Rowling,2008
Four,Veronica Roth,2001
Anansi Boys,Neil Gaiman,2005
The Angel Experiment,James Patterson,2001
